Language, Ratio
C++-BitString, 32.2620048384837
Rust-BitVector, 7.50767900207967
lua-BitString, 0.243186824470098
perl5.22-BitString, 14.357244979381
perl5.20-BitString, 0.0901870428166081
CSharp-BitVector, 0.119046348385046
Java-BitSet, 0.0167994893794321
perlsimple-BitString, 0.074229250386305
Octave-Vector, 5.39299509957674
C++-BitString, 21.2407082802142
clojure-transientvector, 8.00889756237592
CSharp-BitVector, 0.0797218363829827
perl5.20-BitString, 0.094217497825707
perlsimple-BitString, 0.0825101663799874
Java-BitSet, 0.0104007332479494
lua-BitString, 0.245388966143818
Rust-BitVector, 4.87643696363732
perl5.22-BitString, 9.30127859753297
Go-BitVector, 0.0188829152904758
perl-Bit_Vector, 7.63380222789859
C-char[], 1.49888681521417
Python-BitString, 87.9919611548697
clisp-simple_bit_vector, 3.19594648660936
Scala-BitVector, 13.0430688132061
PHP-BitString, 0.076655841959844
Scala-BitString, 45.9554427312228
julia-BitString, 1
perl-BitString, 47.5397971293576
Haskell-Mutable Vector, 0.00698700025003564
Python-BitString, 0.142948038492945
clojure-persistentvector, 13.9096990521612
node-BitString, 0.111811519537648
clojure-transientvector, 2.43767029635192
C++-BitString, 7.26054053436456
Octave-Vector, 7.08825767394125
Java-BitSet, 0.0165536787118123
perlsimple-BitString, 0.103059518921388
perl5.20-BitString, 0.0985036776965117
CSharp-BitVector, 0.0306780694478038
perl5.22-BitString, 3.28328628910906
lua-BitString, 0.252906002457663
Rust-BitVector, 1.69196229434078
clisp-simple_bit_vector, 1.15474210538868
Python-BitString, 29.9112303693751
C-char[], 0.503888082198106
perl-Bit_Vector, 3.2377327327985
Go-BitVector, 0.0169652816307805
PHP-BitString, 0.0861085081124411
Scala-BitVector, 4.52517473878382
perl-BitString, 18.6695770612566
julia-BitString, 1
Scala-BitString, 15.6090942678587
node-BitString, 0.152209489897959
clojure-persistentvector, 3.28392115447011
Python-BitString, 0.182441483150282
Haskell-Mutable Vector, 38.921290657916
perl5.20-BitString, 0.0909399261864948
CSharp-BitVector, 0.0502496793453913
Java-BitSet, 0.00852070794017138
perlsimple-BitString, 0.0978349793082501
lua-BitString, 0.248398464515341
Rust-BitVector, 2.97493363617999
perl5.22-BitString, 5.68041253243578
Octave-Vector, 6.58314868221533
clojure-transientvector, 4.20236568191655
C++-BitString, 12.890296185686
Scala-BitString, 27.5074083671279
julia-BitString, 1
perl-BitString, 30.3896181952436
